YMD,REGION_ID,BEGIN_WEATHER,END_WEATHER,WIND_VELOCITY,RAIN_PROBABILITY,HIGH_TEMP,LOW_TEMP,MAX_VALUE,MIN_VALUE,AVG_VALUE,FAULT_COUNT_TOTAL
20150516,1,5,5,4,40,17,24,1571302000.000000,814911010.000000,1245960276.388889,216
20150517,1,5,4,4,60,16,25,1563869020.000000,826952030.000000,1240668153.298611,163
20150518,1,4,4,4,90,19,24,1899823000.000000,792260990.000000,1429980374.652778,218
20150519,1,4,5,4,40,20,28,1930600950.000000,821807010.000000,1465048544.895833,344
20150520,1,5,5,4,20,19,27,1979599000.000000,894856020.000000,1503315726.458333,356
20150521,1,5,5,4,10,17,25,1944207030.000000,864008000.000000,1414275031.139896,277
20141201,2,5,5,3,30,4,9,2664233890.000000,1285411990.000000,2063520329.233449,236
20141202,2,5,5,4,10,2,9,2790197020.000000,1535968020.000000,2257792876.829268,383
20141203,2,5,0,4,70,4,9,3055141110.000000,1545656010.000000,2366020345.312500,388
20141204,2,5,5,2,10,2,7,2945347900.000000,1598218020.000000,2400365037.708333,432
20141205,2,5,5,4,10,1,7,2755311040.000000,1576921020.000000,2365515765.868056,466
20141206,2,6,5,4,10,2,10,2786487060.000000,0.000000,2588139367.929688,463
20141207,2,4,5,4,40,5,13,2627686040.000000,1492550050.000000,2086562401.382114,384
20141208,2,5,5,4,20,5,10,2891435060.000000,0.000000,2293184989.716599,397
20141209,2,4,4,4,40,7,12,3133208980.000000,1560264040.000000,2382384363.861789,357
20141210,2,4,4,4,70,9,13,2921573970.000000,1536516970.000000,2314030130.905512,382
20141211,2,4,4,2,40,6,9,3082269040.000000,1536239010.000000,2450099678.565574,383
20141212,2,5,6,2,10,2,8,3022873050.000000,1675318970.000000,2491122550.769231,440
20141213,2,6,6,4,10,1,7,2998325930.000000,1677843990.000000,2365176751.902834,515
20141214,2,6,5,4,10,2,10,2921007080.000000,1609764040.000000,2257488707.333333,484
20141215,2,4,4,2,40,5,13,3042797120.000000,1543389040.000000,2432225389.674797,515
20141216,2,5,5,3,10,2,5,3298396000.000000,1667291990.000000,2578255737.782427,584
20141217,2,5,5,2,20,0,6,3322742920.000000,1771499020.000000,2636521359.834711,596
20141218,2,5,4,4,20,1,9,3132531980.000000,1774452030.000000,2562334955.598291,468
20141219,2,4,5,4,60,6,11,3029739990.000000,1645885010.000000,2502502081.666667,448
20141220,2,5,5,2,10,4,9,2991232910.000000,1667146000.000000,2385635535.521739,491
20141221,2,5,5,2,20,2,6,3218958980.000000,1696254030.000000,2433827354.336283,628
20141222,2,5,5,4,10,0,7,3325425050.000000,1713676030.000000,2625842701.909091,491
20141223,2,5,5,4,20,3,12,3091220950.000000,1652616940.000000,2520791463.411215,434
20141224,2,6,5,4,10,5,12,2987053960.000000,1660495970.000000,2433853899.234234,362
20141225,2,5,4,4,30,5,9,3041001950.000000,1682899050.000000,2468869634.285714,354
20141226,2,5,5,4,30,5,10,3098854000.000000,1551985960.000000,2497668730.000000,306
20141227,2,5,5,4,20,6,11,2838028080.000000,1631119020.000000,2294991330.765957,389
20141228,2,5,6,4,10,5,12,2837823970.000000,1578279050.000000,2205462930.416667,363
20141229,2,5,5,4,10,5,13,2908664060.000000,1538803960.000000,2335608442.570093,331
20141230,2,5,5,4,10,6,14,2750560060.000000,1469287960.000000,2267922715.502392,311
20141231,2,5,5,3,10,4,11,2940486080.000000,1556107060.000000,2358311367.352941,340
20150101,2,5,5,2,10,0,4,2915420900.000000,1770380000.000000,2301178352.764977,481
20150102,2,5,5,4,10,-1,8,2917118900.000000,1725345950.000000,2316962243.398058,362
20150103,2,5,5,4,20,3,10,2940960940.000000,1698797970.000000,2331375306.108374,383
20150104,2,5,5,4,10,4,16,2797458980.000000,1648933960.000000,2355305484.339623,345
20150105,2,4,4,4,60,9,19,2808201900.000000,1647916020.000000,2256257108.872549,325
20150106,2,0,0,2,80,4,8,3148615970.000000,1432250980.000000,2443880659.930070,360
20150107,2,4,5,2,30,3,7,3093573970.000000,1692791990.000000,2464943601.506276,402
20150108,2,5,5,4,10,2,8,3126561040.000000,1711646970.000000,2540556121.890547,336
20150109,2,5,5,4,10,2,11,3044409910.000000,1724557980.000000,2506043143.009709,385
20150110,2,5,5,4,10,4,13,2820549070.000000,1681292970.000000,2287046386.969697,366
20150111,2,5,5,4,10,4,14,2776893070.000000,1577985960.000000,2155715127.185930,335
20150112,2,4,4,4,20,5,9,3026320070.000000,1575009030.000000,2438150491.463415,377
20150113,2,4,4,4,80,6,10,3050104980.000000,1578984010.000000,2466803907.083333,418
20150114,2,4,4,2,90,7,10,3055488040.000000,1649576050.000000,2507544446.770833,454
20150115,2,4,4,4,90,7,9,3108135990.000000,1583245000.000000,2488583265.659722,293
20150116,2,4,4,4,30,4,10,2989274900.000000,1621235960.000000,2455819156.736111,456
20150117,2,5,5,4,30,4,6,2999245120.000000,1614170040.000000,2351165289.479167,405
20150118,2,5,5,4,30,3,10,3009646000.000000,1616738040.000000,2293631373.055556,391
20150119,2,5,5,4,20,3,10,2995055910.000000,1593859010.000000,2399338382.881944,343
20150120,2,4,4,4,60,5,10,2838383060.000000,1591788940.000000,2369187757.500000,368
20150121,2,5,4,2,60,7,14,2811836910.000000,1585359990.000000,2276149158.090278,297
20150122,2,4,5,2,40,4,8,3050641110.000000,1570381960.000000,2462656162.395833,299
